Title1,Textbox33
Visitation By State and by Park for Calendar Year: 2022,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Calendar Year 2022 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"67,773",16.28%,"16,785",15.58%,0,,"201,427",15.58%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alabama,Little River Canyon NPRES,"726,239",-15.81%,"136,555",-26.12%,0,,"1,638,667",-26.12%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alabama,Natchez Trace PKWY,"458,046",2.22%,"154,070",2.41%,"595,238",-2.82%,"1,848,841",2.41%,"595,238",-2.82%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alabama,Russell Cave NM,"16,988",-24.14%,"1,559",-19.22%,0,,"18,711",-19.24%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alabama,Tuskegee Airmen NHS,"16,137",100.29%,"2,016",100.20%,0,,"24,202",100.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alabama,Tuskegee Institute NHS,"9,769",73.55%,407,73.93%,0,,"4,884",73.56%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,294,952",-7.84%,"311,392",-11.78%,"595,238",,"3,736,732",-11.78%,"595,238",,0,,0,,0,,0,,0,,0,,0,,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Alagnak Wild River,184,-29.77%,"1,044",49.36%,68,-38.18%,"12,528",49.25%,"5,529",27.10%,0,,0,,0,,0,,562,71.34%,253,,0,41.34%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Aniakchak NM & PRES,179,23.45%,802,4.97%,78,-4.88%,"9,633",4.99%,"12,726",26.07%,0,,0,,0,,0,,419,2.70%,609,,0,27.94%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,126",-0.18%,"34,878",0.00%,"20,624",0.16%,0,,0,,0,,0,,"1,123",0.00%,484,,0,0.41%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Cape Krusenstern NM,"17,403",43.09%,"16,604",29.03%,"7,800",17.47%,"199,255",29.03%,"209,400",21.72%,0,,0,,0,,0,,"6,225",26.68%,"6,125",,0,23.61%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Denali NP & PRES,"427,562",86.28%,"445,900",57.47%,"903,543",-19.19%,"5,350,801",57.47%,"225,885",-19.19%,0,,"19,877",-7.45%,0,,0,,"33,335",-6.48%,0,,0,,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Gates of the Arctic NP & PRES,"9,457",28.46%,"8,398",137.23%,0,,"100,785",137.20%,0,,0,,0,,0,,0,,"4,017",146.14%,0,,0,,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Glacier Bay NP & PRES,"545,758",507.96%,"584,688",336.58%,545,10.32%,"7,016,261",336.58%,"121,480",11.40%,"15,554",-16.26%,0,,724,-10.95%,0,,"3,741",8.59%,"5,020",-0.21%,"8,839",12.30%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Katmai NP & PRES,"33,908",36.92%,"49,659",45.63%,"7,536",20.27%,"595,910",45.62%,"93,884",54.76%,"4,867",6.34%,0,,"5,812",124.84%,0,,"5,391",54.43%,"1,965",,0,116.17%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Kenai Fjords NP,"389,943",-5.30%,"114,046",-4.29%,0,,"1,368,552",-4.29%,0,,0,,0,,556,-19.88%,0,,70,118.75%,0,57.28%,994,,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Klondike Gold Rush NHP Alaska,"342,909",931.99%,"33,786",118.16%,0,,"405,438",118.16%,0,,0,,0,,0,,0,,586,21.83%,0,,0,,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
Alaska,Kobuk Valley NP,"16,925",46.66%,"20,045",41.42%,"7,750",18.68%,"240,548",41.42%,"225,200",16.76%,0,,0,,0,,0,,"7,350",42.33%,"6,800",,0,16.04%,Subtotal Alaska,"2,023,881",101.99%,"1,585,213",83.75%,"939,626",-18.26%,"19,022,640",83.75%,"1,165,276",8.89%,"20,421",,"19,877",,"7,092",,0,,"75,310",8.41%,"28,798",,"17,388",20.04%,"311,986,008",5.00%,"113,245,394",0.17%,"162,749,152",,"1,358,947,005",0.17%,"86,933,431",,"2,735,836",,"1,418,618",,"3,269,989",,"2,567,069",,"1,865,699",,"43,383",,"1,353,525",
