Title1,Textbox33
Visitation By State and by Park for Calendar Year: 2021,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Calendar Year 2021 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"58,285",103.79%,"14,522",65.25%,0,,"174,275",65.25%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alabama,Little River Canyon NPRES,"862,606",7.51%,"184,841",9.49%,0,,"2,218,097",9.49%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alabama,Natchez Trace PKWY,"448,094",4.52%,"150,445",4.90%,"612,525",5.06%,"1,805,344",4.90%,"612,525",5.06%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alabama,Russell Cave NM,"22,393",164.63%,"1,930",79.70%,0,,"23,170",79.70%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alabama,Tuskegee Airmen NHS,"8,057",17.74%,"1,007",17.78%,0,,"12,084",17.73%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alabama,Tuskegee Institute NHS,"5,629",18.83%,234,-56.10%,0,,"2,814",-56.04%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,405,064",9.79%,"352,979",9.12%,"612,525",,"4,235,784",9.12%,"612,525",,0,,0,,0,,0,,0,,0,,0,,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Alagnak Wild River,262,,699,,110,,"8,394",,"4,350",,0,,0,,0,,0,,328,,179,,0,,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Aniakchak NM & PRES,145,302.78%,764,77.67%,82,,"9,175",77.53%,"10,094",,0,,0,,0,,0,,408,93.36%,476,,0,,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,128",0.00%,"34,878",0.00%,"20,592",0.00%,0,,0,,0,,0,,"1,123",0.00%,482,,0,0.00%,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Cape Krusenstern NM,"12,162",6.98%,"12,868",5.27%,"6,640",-5.61%,"154,422",5.27%,"172,040",0.12%,0,,0,,0,,0,,"4,914",4.49%,"4,955",,0,2.91%,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Denali NP & PRES,"229,521",318.45%,"283,167",263.40%,"1,118,096",101.09%,"3,398,006",263.40%,"279,524",101.09%,0,,"21,477",67.38%,0,,0,,"35,646",568.53%,0,,0,,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
Alaska,Gates of the Arctic NP & PRES,"7,362",156.34%,"3,540",55.33%,0,,"42,489",55.32%,0,,0,,0,,0,,0,,"1,632",50.28%,0,,0,,Subtotal Alaska,"1,001,956",146.37%,"862,686",180.30%,"1,149,550",,"10,352,312",,"1,070,144",,"23,152",,"21,477",,"4,092",,0,,"69,467",,"23,990",,"11,806",,"297,115,401",25.33%,"113,054,626",28.60%,"158,074,682",,"1,356,657,741",28.60%,"86,643,416",,"2,342,000",,"1,383,506",,"3,185,050",,"2,473,338",,"1,953,623",,"37,731",,"1,370,208",
