Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2018,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2018 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"56,365",-28.98%,"10,877",-32.69%,"1,015,763",-10.19%,"130,533",-32.69%,"338,555",-10.19%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alabama,Little River Canyon NPRES,"429,265",7.88%,"104,072",25.54%,0,,"1,248,870",25.54%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alabama,Natchez Trace PKWY,"447,218",1.94%,"150,090",1.90%,"619,752",7.11%,"1,801,091",1.90%,"619,752",7.11%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alabama,Russell Cave NM,"23,252",-10.39%,"3,205",-8.92%,0,,"38,462",-8.93%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alabama,Tuskegee Airmen NHS,"28,179",-31.60%,"3,522",-31.60%,0,,"42,269",-31.60%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alabama,Tuskegee Institute NHS,"34,351",81.76%,"5,586",68.81%,0,,"67,032",68.79%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,018,630",1.65%,"277,352",7.36%,"1,635,515",-4.33%,"3,328,257",7.36%,"958,307",0.29%,0,,0,,0,,0,,0,,0,,0,,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alaska,Aniakchak NM & PRES,100,0.00%,470,0.00%,0,,"5,640",0.00%,0,,0,,0,,0,,0,,235,0.00%,0,,0,,Subtotal Alaska,"2,920,321",4.72%,"2,026,594",-0.39%,"809,724",,"24,319,191",-0.39%,"489,812",,"16,691",,"27,587",,"5,276",,0,,"74,966",-8.18%,"23,570",,"17,668",,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,660,0.00%,"1,128",0.00%,"7,926",0.00%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,360,,0,0.00%,Subtotal Alaska,"2,920,321",4.72%,"2,026,594",-0.39%,"809,724",,"24,319,191",-0.39%,"489,812",,"16,691",,"27,587",,"5,276",,0,,"74,966",-8.18%,"23,570",,"17,668",,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alaska,Cape Krusenstern NM,"14,810",-1.27%,"3,209",2.98%,"7,700",2.67%,"38,510",2.97%,"61,600",2.67%,0,,0,,0,,0,,"6,300",-1.18%,"5,800",,0,4.98%,Subtotal Alaska,"2,920,321",4.72%,"2,026,594",-0.39%,"809,724",,"24,319,191",-0.39%,"489,812",,"16,691",,"27,587",,"5,276",,0,,"74,966",-8.18%,"23,570",,"17,668",,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
Alaska,Denali NP & PRES,"593,205",-7.87%,"543,869",-22.95%,"784,032",-1.17%,"6,526,429",-22.95%,"196,008",-1.17%,0,,"27,587",1.24%,0,,0,,"23,728",-27.88%,0,,0,,Subtotal Alaska,"2,920,321",4.72%,"2,026,594",-0.39%,"809,724",,"24,319,191",-0.39%,"489,812",,"16,691",,"27,587",,"5,276",,0,,"74,966",-8.18%,"23,570",,"17,668",,"321,237,052",-3.57%,"117,394,023",-2.69%,"171,934,764",,"1,408,730,383",-2.69%,"93,311,469",,"3,161,801",,"1,362,538",,"3,612,752",,"2,498,567",,"1,933,162",,"39,722",,"1,558,445",
