Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2021,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2021 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"49,821",65.05%,"13,153",45.29%,0,,"157,839",45.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alabama,Little River Canyon NPRES,"846,394",12.69%,"181,948",9.53%,0,,"2,183,376",9.53%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alabama,Natchez Trace PKWY,"444,417",5.10%,"149,040",5.29%,"605,120",3.08%,"1,788,490",5.29%,"605,120",3.08%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alabama,Russell Cave NM,"20,657",100.53%,"1,855",33.45%,0,,"22,270",33.43%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alabama,Tuskegee Airmen NHS,"6,502",-49.52%,812,-49.53%,0,,"9,752",-49.52%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alabama,Tuskegee Institute NHS,"4,680",-59.52%,195,-82.18%,0,,"2,348",-82.13%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,372,471",10.78%,"347,003",8.16%,"605,120",,"4,164,075",8.16%,"605,120",,0,,0,,0,,0,,0,,0,,0,,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Alagnak Wild River,262,,699,,110,,"8,394",,"4,350",,0,,0,,0,,0,,328,,179,,0,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Aniakchak NM & PRES,132,266.67%,623,44.88%,61,,"7,484",44.81%,"7,327",,0,,0,,0,,0,,328,55.45%,345,,0,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",23.98%,"1,128",0.00%,"34,878",23.97%,"20,592",12.89%,0,,0,,0,,0,,"1,123",0.00%,482,,0,0.00%,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Cape Krusenstern NM,"12,162",6.98%,"12,868",75.86%,"6,640",-5.61%,"154,422",75.86%,"172,040",43.08%,0,,0,,0,,0,,"4,914",4.49%,"4,955",,0,2.91%,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Denali NP & PRES,"229,272",262.74%,"283,140",230.90%,"1,118,096",101.09%,"3,397,684",230.90%,"279,524",101.09%,0,,"21,477",67.38%,0,,0,,"35,677",569.49%,0,,0,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Gates of the Arctic NP & PRES,"7,379",155.33%,"3,856",96.23%,0,,"46,281",96.26%,0,,0,,0,,0,,0,,"1,790",92.89%,0,,0,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Glacier Bay NP & PRES,"83,117",740.67%,"127,272",434.55%,494,60.91%,"1,527,269",434.54%,"106,050",117.32%,"18,575",,0,,813,764.89%,0,,"3,437",239.62%,"4,340",6.40%,"8,858",120.30%,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Katmai NP & PRES,"24,455",-52.74%,"34,010",-24.72%,"6,120",774.29%,"408,122",-24.72%,"59,159",345.47%,"4,577",599.85%,0,,"2,585",11139.13%,0,,"3,462",-82.94%,884,966.67%,64,84.17%,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Kenai Fjords NP,"409,380",255.21%,"118,732",320.90%,0,,"1,424,790",320.89%,0,,0,,0,,694,,0,,68,-50.72%,0,,593,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Klondike Gold Rush NHP Alaska,"32,154",6557.14%,"15,467",3948.95%,0,,"185,615",3944.78%,0,,0,,0,,0,,0,,481,640.00%,0,,0,,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
Alaska,Kobuk Valley NP,"11,540",3.17%,"14,174",55.20%,"8,141",28.20%,"170,096",55.20%,"205,768",53.74%,0,,0,,0,,0,,"5,164",5.65%,"5,860",,0,3.53%,Subtotal Alaska,"1,007,012",143.15%,"857,364",180.99%,"1,150,947",,"10,288,460",,"1,074,250",,"23,152",,"21,477",,"4,092",,0,,"69,847",,"23,644",,"11,857",,"289,676,584",18.25%,"111,593,440",25.05%,"155,296,521",,"1,339,123,333",25.05%,"85,224,882",,"2,189,407",,"1,404,836",,"3,164,562",,"2,407,033",,"1,990,115",,"38,520",,"1,308,038",
