Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2017,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2017.  This was the first year of available data for this report so the percent change from the previous year column is not displayed.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Gates of the Arctic NP & PRES,"11,329",14.67%,"13,150",-19.40%,0,,"157,806",-19.40%,0,,0,,0,,0,,0,,"6,355",-20.27%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Glacier Bay NP & PRES,"545,653",5.04%,"587,227",4.96%,355,-37.28%,"7,046,728",4.96%,"96,820",-37.65%,"12,352",12.13%,0,,901,-0.77%,0,,"6,043",2.46%,"4,015",-5.77%,"13,267",-37.94%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Katmai NP & PRES,"37,818",0.80%,"19,440",0.00%,0,,"233,289",0.00%,0,,"4,216",0.00%,0,,"2,098",0.00%,0,,483,0.00%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Kenai Fjords NP,"303,137",-11.43%,"80,517",-15.97%,0,,"966,204",-15.97%,0,,0,,0,,"1,176",-22.32%,0,,674,13.09%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Klondike Gold Rush NHP Alaska,"906,400",-0.65%,"308,894",0.70%,0,,"3,706,730",0.70%,0,,0,,0,,"2,649",8.17%,0,,"5,637",11.38%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Kobuk Valley NP,"15,500",43.52%,"4,241",41.98%,"7,750",43.52%,"50,900",41.98%,"62,000",43.52%,0,,0,,0,,0,,"7,050",43.15%,"7,100",,0,44.90%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Lake Clark NP & PRES,"22,731",11.65%,"16,946",11.61%,0,,"203,356",11.61%,0,,0,,0,,0,,0,,"7,177",11.60%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Noatak NPRES,"17,000",54.55%,"17,916",54.40%,"8,500",54.55%,"215,000",54.40%,"68,000",54.55%,0,,0,,0,,0,,"5,500",29.41%,"5,650",,0,29.89%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Sitka NHP,"198,325",-1.56%,"10,067",-2.85%,0,,"120,809",-2.85%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Wrangell-St. Elias NP & PRES,"68,292",-12.92%,"261,787",-12.92%,0,,"3,141,451",-12.92%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
