Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2023,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2023 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"73,433",8.52%,"18,202",11.46%,0,,"218,430",11.46%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alabama,Little River Canyon NPRES,"698,528",-6.79%,"144,580",3.77%,0,,"1,734,969",3.77%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alabama,Natchez Trace PKWY,"445,239",-4.31%,"149,875",-4.22%,"635,878",3.98%,"1,798,501",-4.22%,"635,878",3.98%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alabama,Russell Cave NM,"9,350",-47.47%,926,-42.52%,0,,"11,120",-42.51%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alabama,Tuskegee Airmen NHS,"21,897",54.25%,"2,737",54.28%,0,,"32,844",54.26%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alabama,Tuskegee Institute NHS,"8,711",-6.32%,501,29.46%,0,,"6,020",29.52%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,257,158",-5.02%,"316,821",0.29%,"635,878",,"3,801,884",0.29%,"635,878",,0,,0,,0,,0,,0,,0,,0,,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alaska,Alagnak Wild River,231,25.54%,356,-65.90%,90,32.35%,"4,277",-65.86%,"1,148",-79.24%,0,,0,,0,,0,,133,-76.33%,28,,0,-88.93%,Subtotal Alaska,"3,255,995",69.93%,"2,283,744",54.00%,"883,122",-6.03%,"27,404,992",54.00%,"1,122,616",-4.67%,"17,301",,"20,069",,"7,507",,0,,"70,723",-6.13%,"27,592",,"44,071",-5.86%,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alaska,Aniakchak NM & PRES,158,-16.84%,425,-54.00%,89,-7.29%,"5,106",-53.96%,"11,123",-24.60%,0,,0,,0,,0,,200,-59.02%,525,,0,-25.43%,Subtotal Alaska,"3,255,995",69.93%,"2,283,744",54.00%,"883,122",-6.03%,"27,404,992",54.00%,"1,122,616",-4.67%,"17,301",,"20,069",,"7,507",,0,,"70,723",-6.13%,"27,592",,"44,071",-5.86%,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,128",0.18%,"34,878",0.00%,"20,592",-0.16%,0,,0,,0,,0,,"1,123",0.00%,482,,0,-0.41%,Subtotal Alaska,"3,255,995",69.93%,"2,283,744",54.00%,"883,122",-6.03%,"27,404,992",54.00%,"1,122,616",-4.67%,"17,301",,"20,069",,"7,507",,0,,"70,723",-6.13%,"27,592",,"44,071",-5.86%,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
Alaska,Cape Krusenstern NM,"17,809",3.40%,"16,451",-3.17%,"7,800",0.00%,"197,421",-3.17%,"207,600",1.47%,0,,0,,0,,0,,"6,125",-4.67%,"6,050",,0,2.11%,Subtotal Alaska,"3,255,995",69.93%,"2,283,744",54.00%,"883,122",-6.03%,"27,404,992",54.00%,"1,122,616",-4.67%,"17,301",,"20,069",,"7,507",,0,,"70,723",-6.13%,"27,592",,"44,071",-5.86%,"322,875,032",3.77%,"116,398,789",2.57%,"169,135,889",,"1,396,787,771",2.57%,"89,226,178",,"2,820,299",,"1,300,314",,"3,117,351",,"2,545,783",,"1,793,177",,"42,494",,"1,335,729",
