Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2020,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2020 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"30,185",-31.39%,"9,053",-16.57%,0,-100.00%,"108,643",-16.57%,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alabama,Little River Canyon NPRES,"751,104",28.04%,"166,119",30.01%,0,,"1,993,436",30.01%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alabama,Natchez Trace PKWY,"422,842",-3.90%,"141,552",-4.09%,"587,022",-8.34%,"1,698,633",-4.09%,"587,022",-8.34%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alabama,Russell Cave NM,"10,301",-38.94%,"1,390",-42.51%,0,,"16,690",-42.49%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alabama,Tuskegee Airmen NHS,"12,880",-53.29%,"1,609",-53.31%,0,,"19,319",-53.29%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alabama,Tuskegee Institute NHS,"11,560",-68.06%,"1,094",-78.60%,0,,"13,138",-78.59%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,238,872",7.61%,"320,817",7.95%,"587,022",-34.86%,"3,849,859",7.95%,"587,022",-19.29%,0,,0,,0,,0,,0,,0,,0,,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alaska,Aniakchak NM & PRES,36,-64.00%,430,-6.52%,0,,"5,168",-6.38%,0,,0,,0,,0,,0,,211,-8.26%,0,,0,,Subtotal Alaska,"414,148",-87.10%,"305,128",-85.53%,"578,644",,"3,661,633",-85.53%,"612,643",,654,,"12,831",,117,,0,,"46,785",-27.55%,"18,192",,"8,663",,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,344",255.15%,"1,128",0.00%,"28,134",254.96%,"18,240",102.13%,0,,0,,0,,0,,"1,123",0.00%,482,,0,0.00%,Subtotal Alaska,"414,148",-87.10%,"305,128",-85.53%,"578,644",,"3,661,633",-85.53%,"612,643",,654,,"12,831",,117,,0,,"46,785",-27.55%,"18,192",,"8,663",,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alaska,Cape Krusenstern NM,"11,369",-29.10%,"7,317",93.47%,"7,035",-9.81%,"87,811",93.47%,"120,240",92.69%,0,,0,,0,,0,,"4,703",-26.80%,"4,815",,0,10.06%,Subtotal Alaska,"414,148",-87.10%,"305,128",-85.53%,"578,644",,"3,661,633",-85.53%,"612,643",,654,,"12,831",,117,,0,,"46,785",-27.55%,"18,192",,"8,663",,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
Alaska,Denali NP & PRES,"63,205",-89.45%,"85,566",-84.47%,"556,019",-29.42%,"1,026,800",-84.47%,"139,003",-29.42%,0,,"12,831",-51.36%,0,,0,,"5,329",-79.67%,0,,0,,Subtotal Alaska,"414,148",-87.10%,"305,128",-85.53%,"578,644",,"3,661,633",-85.53%,"612,643",,654,,"12,831",,117,,0,,"46,785",-27.55%,"18,192",,"8,663",,"244,979,922",-24.22%,"89,240,517",-24.25%,"153,550,868",,"1,070,888,431",-24.25%,"83,071,630",,"1,352,341",,"1,197,601",,"1,907,546",,"1,505,013",,"1,410,369",,"29,780",,"954,395",
