Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2022,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2022 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"67,668",35.82%,"16,331",24.16%,0,,"195,979",24.16%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alabama,Little River Canyon NPRES,"749,420",-11.46%,"139,322",-23.43%,0,,"1,671,864",-23.43%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alabama,Natchez Trace PKWY,"465,283",4.70%,"156,471",4.99%,"611,518",1.06%,"1,877,661",4.99%,"611,518",1.06%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alabama,Russell Cave NM,"17,801",-13.83%,"1,611",-13.15%,0,,"19,341",-13.15%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alabama,Tuskegee Airmen NHS,"14,196",118.33%,"1,774",118.47%,0,,"21,291",118.32%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alabama,Tuskegee Institute NHS,"9,299",98.70%,387,98.46%,0,,"4,648",97.96%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,323,667",-3.56%,"315,896",-8.96%,"611,518",,"3,790,784",-8.96%,"611,518",,0,,0,,0,,0,,0,,0,,0,,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alaska,Alagnak Wild River,184,-29.77%,"1,044",49.36%,68,-38.18%,"12,528",49.25%,"5,529",27.10%,0,,0,,0,,0,,562,71.34%,253,,0,41.34%,Subtotal Alaska,"1,916,088",90.27%,"1,482,936",72.96%,"939,759",-18.35%,"17,795,309",72.96%,"1,177,615",9.62%,"20,421",,"19,877",,"7,002",,0,,"75,339",7.86%,"29,310",,"16,238",23.96%,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alaska,Aniakchak NM & PRES,190,43.94%,924,48.31%,96,57.38%,"11,090",48.18%,"14,752",101.34%,0,,0,,0,,0,,488,48.78%,704,,0,104.06%,Subtotal Alaska,"1,916,088",90.27%,"1,482,936",72.96%,"939,759",-18.35%,"17,795,309",72.96%,"1,177,615",9.62%,"20,421",,"19,877",,"7,002",,0,,"75,339",7.86%,"29,310",,"16,238",23.96%,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,126",-0.18%,"34,878",0.00%,"20,624",0.16%,0,,0,,0,,0,,"1,123",0.00%,484,,0,0.41%,Subtotal Alaska,"1,916,088",90.27%,"1,482,936",72.96%,"939,759",-18.35%,"17,795,309",72.96%,"1,177,615",9.62%,"20,421",,"19,877",,"7,002",,0,,"75,339",7.86%,"29,310",,"16,238",23.96%,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
Alaska,Cape Krusenstern NM,"17,223",41.61%,"16,989",32.03%,"7,800",17.47%,"203,875",32.02%,"204,600",18.93%,0,,0,,0,,0,,"6,425",30.75%,"5,925",,0,19.58%,Subtotal Alaska,"1,916,088",90.27%,"1,482,936",72.96%,"939,759",-18.35%,"17,795,309",72.96%,"1,177,615",9.62%,"20,421",,"19,877",,"7,002",,0,,"75,339",7.86%,"29,310",,"16,238",23.96%,"311,155,187",7.41%,"113,479,131",1.69%,"162,681,381",,"1,361,751,597",1.69%,"87,386,158",,"2,695,587",,"1,442,415",,"3,288,576",,"2,577,074",,"1,872,746",,"43,239",,"1,360,201",
